Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Al IV ,251.587, 400* , ,897 571.0   ,3,,,,,,,,,,,,,
Al IV ,251.62, 80bl* , ,900 988.4   ,4,,,,,,,,,,,,,
Al IV ,251.62, 80bl* , ,900 988.4   ,3,,,,,,,,,,,,,
Al IV ,251.729,200, ,900 988.4   ,3,,,,,,,,,,,,,
Al I ,251.9222,4, ,78 612.23  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,251.9514,1, ,78 612.23  , 5/2 ,,,,,,,,,,,,,
Al II ,252.0579,45, ,149 751.2   ,1,,,,,,,,,,,,,
Al IV ,252.068, 10* , ,897 470.3   ,2,,,,,,,,,,,,,
Al IV ,252.068, 10* , ,897 470.3   ,3,,,,,,,,,,,,,
Al IV ,252.228, 5* , ,897 470.3   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,252.228, 5* , ,897 470.3   ,2,,,,,,,,,,,,,
Al III , ,  ,1.01E+07,205 387.77  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,1.12E+06,205 387.77  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,1.12E+07,205 375.74  , 1/2 ,,,,,,,,,,,,,
Al II ,252.6486,1000,1.94E+07,134 919.40  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,252.727, 150bl , ,897 608.5   ,4,,,,,,,,,,,,,
Al IV ,252.75, 200* , ,897 608.5   ,5,,,,,,,,,,,,,
Al IV ,252.75, 200* , ,897 608.5   ,4,,,,,,,,,,,,,
Al IX , ,  ,1.10E+06,1 800 510     , 3/2 ,,,,,,,,,,,,,
Al IV ,252.963, 6* , ,897 571.0   ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,252.963, 6* , ,897 571.0   ,3,,,,,,,,,,,,,
Al IV ,252.99, 10* , ,897 571.0   ,4,,,,,,,,,,,,,
Al IV ,252.99, 10* , ,897 571.0   ,3,,,,,,,,,,,,,
Al II ,253.2092,50, ,149 571.0   ,3,,,,,,,,,,,,,
Al II ,253.2629,300, ,135 022.127 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,253.3117,5, ,135 015.701 ,1,,,,,,,,,,,,,
Al II ,253.317,45, ,135 015.701 ,1,,,,,,,,,,,,,
Al X , ,  ,3.79E+07,1 923 850     ,1,,,,,,,,,,,,,
Al II ,254.0179,150, ,146 276.0   ,2,,,,,,,,,,,,,
Al II ,254.0706,100, ,149 437.17  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,254.5606,450, ,146 192.1   ,0,,,,,,,,,,,,,
Al II ,254.9314,150, ,144 642.0   ,1,,,,,,,,,,,,,
Al II ,255.0217,450, ,144 642.18  ,2,,,,,,,,,,,,,
Al II ,255.2109,500, ,144 642.45  ,3,,,,,,,,,,,,,
Al II ,255.6007,50, ,149 201.6   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,255.6793,300, ,144 527.35  ,1,,,,,,,,,,,,,
Al II ,255.7707,500, ,144 527.35  ,1,,,,,,,,,,,,,
Al II ,255.9627,1000, ,144 527.35  ,1,,,,,,,,,,,,,
Al II ,256.5694,150, ,149 053.98  ,1,,,,,,,,,,,,,
Al I ,256.7984, 10g ,1.92E+07,38 929.413 , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,257.5094, 10g ,3.60E+07,38 933.968 , 5/2 ,,,,,,,,,,,,,
Al I ,257.5393, 3g ,5.99E+06,38 929.413 , 3/2 ,,,,,,,,,,,,,
Al VI , ,  ,2.34E+06,1 207 940     ,0,,,,,,,,,,,,,
Al II ,258.6829,150, ,148 735.66  ,3,,,,,,,,,,,,,
Al IX , ,  ,2.93E+04,2 301 150     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,259.6992,300, ,148 584.44  ,1,,,,,,,,,,,,,
Al VI , ,  ,1.36E+00,41 167     ,2,,,,,,,,,,,,,
Al V ,260.471,10,1.54E+07,835 033.3   , 1/2 ,,,,,,,,,,,,,
Al VI , ,  ,1.69E+06,1 206 880     ,1,,,,,,,,,,,,,
Al II ,262.2926,15, ,149 751.2   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,262.454,5, ,874 756.8   ,1,,,,,,,,,,,,,
Al II ,262.7597,350, ,148 135.9   ,3,,,,,,,,,,,,,
Al II ,263.1546,100,2.48E+08,123 470.5   ,3,,,,,,,,,,,,,
Al I ,263.395,2, ,80 191.9   , 5/2 ,,,,,,,,,,,,,
Al VII , ,  ,5.33E+05,1 740 040?    , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,263.502,250, ,123 420.45  ,3,,,,,,,,,,,,,
Al I ,263.603,2, ,80 158.0   , 3/2 ,,,,,,,,,,,,,
Al I ,263.632,1, ,80 158.0   , 3/2 ,,,,,,,,,,,,,
Al II ,263.6724,500, ,148 004.49  ,1,,,,,,,,,,,,,
Al II ,263.7689,3000,2.85E+07,133 450.07  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,263.8178,1000,3.18E+06,133 443.08  ,3,,,,,,,,,,,,,
Al II ,263.8255,2500,2.53E+07,133 443.08  ,3,,,,,,,,,,,,,
Al II , ,  ,1.25E+05,133 437.71  ,2,,,,,,,,,,,,,
Al II ,263.8627,500,4.44E+06,133 437.71  ,2,,,,,,,,,,,,,
Al II ,263.869,2000,2.40E+07,133 437.71  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,264.0408,450, ,144 782.23  ,2,,,,,,,,,,,,,
Al I ,264.749,6, ,70 709.4   , 1/2 ,,,,,,,,,,,,,
Al I ,264.861,4, ,70 709.4   , 1/2 ,,,,,,,,,,,,,
Al II ,265.0073,500, ,144 644.14  ,0,,,,,,,,,,,,,
Al I ,265.2484, 10g ,1.42E+07,37 689.407 , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VII , ,  ,3.13E+06,1 739 780     , 5/2 ,,,,,,,,,,,,,
Al VI , ,  ,5.37E+05,1 206 880     ,1,,,,,,,,,,,,,
Al I ,265.7406,3, ,76 553.47  , 5/2 ,,,,,,,,,,,,,
Al I ,265.933,3, ,76 521.7   , 3/2 ,,,,,,,,,,,,,
Al II , ,  ,3.35E-03,37 577.79  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,266.0393, 10g ,2.84E+07,37 689.407 , 1/2 ,,,,,,,,,,,,,
Al VI , ,  ,2.79E+06,1 031 395     ,3,,,,,,,,,,,,,
Al II ,266.9157, 2500g ,3.28E+03,37 453.91  ,1,,,,,,,,,,,,,
Al II ,267.1811,45, ,149 053.98  ,1,,,,,,,,,,,,,
Al VI , ,  ,2.25E+06,1 031 005     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,1.44E+06,1 030 908     ,1,,,,,,,,,,,,,
Al VII , ,  ,1.02E+07,1 739 420     , 7/2 ,,,,,,,,,,,,,
Al II ,268.3274,500, ,147 346.67  ,3,,,,,,,,,,,,,
Al VI , ,  ,9.34E+05,1 030 908     ,1,,,,,,,,,,,,,
Al II ,268.8743,500, ,147 270.82  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,4.32E+05,1 031 005     ,2,,,,,,,,,,,,,
Al VI , ,  ,7.24E+04,1 030 908     ,1,,,,,,,,,,,,,
Al II ,270.577,50, ,148 584.44  ,1,,,,,,,,,,,,,
Al II ,270.6435,300, ,142 365.54  ,1,,,,,,,,,,,,,
Al II ,270.7452,500, ,142 365.69  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,270.9593,1000, ,142 365.98  ,3,,,,,,,,,,,,,
Al II ,271.9884,350, ,142 182.94  ,1,,,,,,,,,,,,,
Al II ,272.3098,500, ,142 182.94  ,1,,,,,,,,,,,,,
Al I ,274.098,4, ,78 710.26  , 7/2 ,,,,,,,,,,,,,
Al I ,274.8065,3, ,78 612.23  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,274.8925,150, ,148 004.49  ,1,,,,,,,,,,,,,
Al II ,276.0844,500, ,146 299.92  ,1,,,,,,,,,,,,,
Al II ,276.2464,500, ,146 278.70  ,3,,,,,,,,,,,,,
Al III ,276.2815, 9d* ,7.47E+06,201 971.16  , 5/2 ,,,,,,,,,,,,,
Al III ,276.2815, 9d* ,1.12E+08,201 971.16  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,276.2815, 9d* ,1.05E+08,201 971.16  , 5/2 ,,,,,,,,,,,,,
Al I ,277.519,1, ,80 191.9   , 5/2 ,,,,,,,,,,,,,
Al I ,277.763,2, ,80 158.0   , 3/2 ,,,,,,,,,,,,,
Al VI , ,  ,2.78E+05,1 204 520     ,2,,,,,,,,,,,,,
Al II ,280.1178,500, ,142 609.27  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,280.5518,150, ,147 270.82  ,1,,,,,,,,,,,,,
Al IX , ,  ,4.61E+05,2 301 150     , 5/2 ,,,,,,,,,,,,,
Al II ,281.6185,4000,3.57E+08,95 350.60  ,0,,,,,,,,,,,,,
Al V , ,  ,4.48E+06,1 131 650     , 3/2 ,,,,,,,,,,,,,
Al II ,282.0646,125, ,142 363.06  ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III , ,  ,7.15E+05,213 737.44  , 3/2 ,,,,,,,,,,,,,
Al VI , ,  ,1.77E+04,1 204 520     ,2,,,,,,,,,,,,,
Al III , , * ,1.35E+05,213 737.44  , 3/2 ,,,,,,,,,,,,,
Al III , , * ,8.13E+05,213 737.44  , 5/2 ,,,,,,,,,,,,,
Al I ,283.7856,2, ,67 662.959 , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,283.7963,7, ,67 662.959 , 5/2 ,,,,,,,,,,,,,
Al I ,284.0099,7, ,67 635.128 , 3/2 ,,,,,,,,,,,,,
Al I ,284.0205,2, ,67 635.128 , 3/2 ,,,,,,,,,,,,,
Al VI , ,  ,1.48E+06,1 204 520     ,2,,,,,,,,,,,,,
Al II ,286.8494,1000, ,144 941.10  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,286.892,1, ,80 191.9   , 5/2 ,,,,,,,,,,,,,
Al IV ,286.898,5, ,871 512.2   ,1,,,,,,,,,,,,,
Al I ,287.157,2, ,80 158.0   , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,9.61E+05,205 387.77  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,1.03E+06,205 375.74  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al V , ,  ,1.15E+07,1 130 900     , 5/2 ,,,,,,,,,,,,,
Al II ,288.145,500, ,144 784.45  ,3,,,,,,,,,,,,,
Al II ,288.4106,10, ,146 299.92  ,1,,,,,,,,,,,,,
Al I ,289.4228,3, ,78 710.26  , 7/2 ,,,,,,,,,,,,,
Al II ,290.2141,  , ,125 721.703 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,290.2258,2, ,78 612.23  , 5/2 ,,,,,,,,,,,,,
Al II ,290.3225,  , ,125 708.828 ,1,,,,,,,,,,,,,
Al II ,290.3718,  , ,125 703.14  ,0,,,,,,,,,,,,,
Al III ,290.705, 10* , ,202 003.58  , 7/2 ,,,,,,,,,,,,,
Al III ,290.705, 10* , ,202 003.58  , 9/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,290.705, 10* , ,202 003.58  , 7/2 ,,,,,,,,,,,,,
Al I ,291.3267,3, ,76 553.47  , 5/2 ,,,,,,,,,,,,,
Al I ,291.566,2, ,76 521.7   , 3/2 ,,,,,,,,,,,,,
Al I ,292.793,5, ,73 077.8   , 7/2 ,,,,,,,,,,,,,
Al I ,293.604,3, ,72 978.9   , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,4.23E+01,1 064 689+x   ,0,,,,,,,,,,,,,
Al VI , ,  ,2.03E+02,1 064 689+x   ,1,,,,,,,,,,,,,
Al VI , ,  ,1.49E+02,1 064 679+x   ,2,,,,,,,,,,,,,
Al III , ,  ,1.58E+05,201 375.20  , 5/2 ,,,,,,,,,,,,,
Al III ,296.106, 2* ,3.33E+06,201 375.56  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,296.106, 2* ,3.17E+06,201 375.20  , 5/2 ,,,,,,,,,,,,,
Al IV ,296.129,300, ,836 666.5   ,0,,,,,,,,,,,,,
Al VI , ,  ,2.04E+02,1 064 689+x   ,1,,,,,,,,,,,,,
Al VI , ,  ,6.90E+02,1 064 679+x   ,2,,,,,,,,,,,,,
Al VI , ,  ,1.18E+02,1 064 667+x   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,299.4277,50,4.04E+06,138 814.87  ,1,,,,,,,,,,,,,
Al II ,299.5525,400,5.44E+06,138 814.87  ,2,,,,,,,,,,,,,
Al II , ,  ,3.03E+06,138 814.87  ,1,,,,,,,,,,,,,
Al I ,299.629,3, ,78 710.26  , 7/2 ,,,,,,,,,,,,,
Al II ,299.815,500,7.26E+06,138 815.12  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,2.01E+05,138 814.87  ,1,,,,,,,,,,,,,
Al II , ,  ,1.81E+06,138 814.87  ,2,,,,,,,,,,,,,
Al II ,300.179,30, ,144 941.10  ,1,,,,,,,,,,,,,
Al V , ,  ,7.43E+05,1 131 650     , 3/2 ,,,,,,,,,,,,,
Al VI , ,  ,1.92E+02,1 064 679+x   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al X , ,  ,1.67E+07,2 161 960     ,2,,,,,,,,,,,,,
Al VI , ,  ,1.32E+01,1 064 664+x   ,4,,,,,,,,,,,,,
Al VI , ,  ,1.12E+03,1 064 667+x   ,3,,,,,,,,,,,,,
Al I ,300.502,1, ,78 612.23  , 5/2 ,,,,,,,,,,,,,
Al V , ,  ,1.47E+06,1 129 350     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al V , ,  ,1.67E+06,1 129 350     , 3/2 ,,,,,,,,,,,,,
Al II ,302.2789,15,2.68E+06,138 499.89  ,1,,,,,,,,,,,,,
Al II ,302.4077,200,8.02E+06,138 499.89  ,1,,,,,,,,,,,,,
Al II ,302.6761,500,1.33E+07,138 499.89  ,1,,,,,,,,,,,,,
Al X , ,  ,2.15E+07,2 163 340     ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al V , ,  ,1.15E+07,1 098 350?    , 1/2 ,,,,,,,,,,,,,
Al II ,304.1276,750, ,142 961.20  ,1,,,,,,,,,,,,,
Al I ,305.0073,13, ,61 843.54  , 5/2 ,,,,,,,,,,,,,
Al I ,305.4679,5, ,61 747.56  , 3/2 ,,,,,,,,,,,,,
Al I ,305.7144,14, ,61 843.54  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,305.9029,4, ,61 747.56  , 3/2 ,,,,,,,,,,,,,
Al I ,305.9924,4, ,61 691.46  , 1/2 ,,,,,,,,,,,,,
Al I ,306.429,7, ,61 691.46  , 1/2 ,,,,,,,,,,,,,
Al I ,306.512,1, ,78 710.26  , 7/2 ,,,,,,,,,,,,,
Al I ,306.6145,5, ,61 747.56  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VII , ,  ,1.41E-01,94 869     , 3/2 ,,,,,,,,,,,,,
Al VII , ,  ,8.90E+00,94 869     , 3/2 ,,,,,,,,,,,,,
Al II ,307.4691,750,9.02E+06,142 604.05  ,3,,,,,,,,,,,,,
Al VII , ,  ,3.39E-01,94 869     , 3/2 ,,,,,,,,,,,,,
Al VII , ,  ,5.01E+00,94 869     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,308.21529, 24g ,5.87E+07,32 435.453 , 3/2 ,,,,,,,,,,,,,
Al I ,308.702,5, ,76 553.47  , 5/2 ,,,,,,,,,,,,,
Al II ,308.8516,800,1.08E+07,139 289.15  ,2,,,,,,,,,,,,,
Al I ,308.982,1, ,76 521.7   , 3/2 ,,,,,,,,,,,,,
Al I ,309.27099, 26g ,7.29E+07,32 436.796 , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,309.28386, 20g ,1.16E+07,32 435.453 , 3/2 ,,,,,,,,,,,,,
Al VII , ,  ,2.84E-01,94 603     , 1/2 ,,,,,,,,,,,,,
Al VII , ,  ,5.45E+00,94 603     , 1/2 ,,,,,,,,,,,,,
Al VII , ,  ,1.88E-01,94 603     , 1/2 ,,,,,,,,,,,,,
Al X , ,  ,8.18E+06,2 160 650?    ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,313.5848,75, ,138 800.60  ,0,,,,,,,,,,,,,
Al VIII , ,  ,5.65E+07,1 816 930?    ,3,,,,,,,,,,,,,
Al X , ,  ,4.73E+06,2 161 960     ,2,,,,,,,,,,,,,
Al VIII , ,  ,2.65E+06,1 847 470?    ,3,,,,,,,,,,,,,
Al IX , ,  ,4.16E+06,1 722 410     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,318.0111, 3d ,1.04E+07,209 869.89  , 1/2 ,,,,,,,,,,,,,
Al III ,318.3824, 4d ,2.08E+07,209 869.89  , 1/2 ,,,,,,,,,,,,,
Al II ,319.1529,2, ,142 961.20  ,1,,,,,,,,,,,,,
Al I ,320.339,4, ,76 553.47  , 5/2 ,,,,,,,,,,,,,
Al IV ,320.82,500, ,852 570.5   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,321.413,10, ,856 843.1   ,2,,,,,,,,,,,,,
Al V , ,  ,2.39E+06,1 129 350     , 1/2 ,,,,,,,,,,,,,
Al V , ,  ,6.83E+06,1 129 350     , 3/2 ,,,,,,,,,,,,,
Al IV ,324.1343,20, ,858 642.0   ,1,,,,,,,,,,,,,
Al I ,324.159,3, ,73 077.8   , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,324.6143,100, ,858 642.0   ,1,,,,,,,,,,,,,
Al I ,325.16,2, ,72 978.9   , 5/2 ,,,,,,,,,,,,,
Al IV ,325.3426,15, ,855 272.7   ,1,,,,,,,,,,,,,
Al V , ,  ,9.38E+05,1 096 180?    , 3/2 ,,,,,,,,,,,,,
Al XII , ,  ,2.14E+07,(15 051 159)    ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VIII , ,  ,1.29E+07,1 815 970?    ,2,,,,,,,,,,,,,
Al IV ,326.7213,500, ,852 007.5   ,1,,,,,,,,,,,,,
Al VIII , ,  ,1.93E+07,1 847 470?    ,3,,,,,,,,,,,,,
Al II ,327.5767,80,7.41E+06,125 869.015 ,1,,,,,,,,,,,,,
Al I ,328.22,3, ,76 553.47  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,328.3316, 2d ,1.99E+06,208 881.83  , 3/2 ,,,,,,,,,,,,,
Al IV ,328.513,600, ,836 666.5   ,0,,,,,,,,,,,,,
Al III , ,  ,3.82E+05,208 881.83  , 3/2 ,,,,,,,,,,,,,
Al III ,328.7302, 3d ,2.29E+06,208 881.83  , 5/2 ,,,,,,,,,,,,,
Al IV ,329.7943,150, ,851 722.1   ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al X , ,  ,4.64E+05,2 160 650?    ,1,,,,,,,,,,,,,
Al VIII , ,  ,1.46E+07,1 846 150?    ,2,,,,,,,,,,,,,
Al II ,331.3344,80,1.33E+06,125 721.703 ,2,,,,,,,,,,,,,
Al II ,331.347,2,2.37E+05,125 721.703 ,2,,,,,,,,,,,,,
Al II , ,  ,1.58E+04,125 721.703 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,331.4756,2, ,125 708.828 ,1,,,,,,,,,,,,,
Al II ,331.4883,40,1.18E+06,125 708.828 ,1,,,,,,,,,,,,,
Al II ,331.4981,1,3.94E+05,125 708.828 ,1,,,,,,,,,,,,,
Al II ,331.5516,2, ,125 703.14  ,0,,,,,,,,,,,,,
Al II ,331.5608,10,1.58E+06,125 703.14  ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,331.6546,200, ,858 642.0   ,1,,,,,,,,,,,,,
Al IV ,333.2962,300, ,855 272.7   ,1,,,,,,,,,,,,,
Al IV ,334.446,400, ,853 971.5   ,3,,,,,,,,,,,,,
Al IX , ,  ,1.43E+07,1 720 830     , 1/2 ,,,,,,,,,,,,,
Al III ,334.8517,9,1.88E+07,195 641.74  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III , ,  ,2.08E+06,195 641.74  , 3/2 ,,,,,,,,,,,,,
Al III ,335.0885,8,2.07E+07,195 621.72  , 1/2 ,,,,,,,,,,,,,
Al II ,335.1462,50,1.04E+07,139 918.98  ,1,,,,,,,,,,,,,
Al V , ,  ,7.54E+06,1 096 180?    , 3/2 ,,,,,,,,,,,,,
Al VIII , ,  ,2.97E+06,1 846 150?    ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,342.3125,350, ,853 749.4   ,2,,,,,,,,,,,,,
Al XII , ,  ,1.84E+07,(15 049 642)    ,1,,,,,,,,,,,,,
Al II ,342.8894,30,5.78E+06,139 245.343 ,3,,,,,,,,,,,,,
Al I ,343.9347, 6g , ,29 066.96  , 3/2 ,,,,,,,,,,,,,
Al I ,344.364, 9g , ,29 142.78  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,344.4865, 6g , ,29 020.41  , 1/2 ,,,,,,,,,,,,,
Al IV ,345.2159,50, ,853 039.1   ,3,,,,,,,,,,,,,
Al I ,345.2657, 2g , ,29 066.96  , 3/2 ,,,,,,,,,,,,,
Al I ,345.8216, 6g* , ,73 077.8   , 7/2 ,,,,,,,,,,,,,
Al I ,345.8216, 6g* , ,29 020.41  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,346.363,5, ,150 346.9   ,4,,,,,,,,,,,,,
Al I ,346.98,1, ,72 978.9   , 5/2 ,,,,,,,,,,,,,
Al IV ,347.3536,500, ,856 625.8   ,2,,,,,,,,,,,,,
Al XII , ,  ,1.77E+07,(15 049 250)    ,0,,,,,,,,,,,,,
Al I ,347.9806,5, ,67 662.959 , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,348.2628,5, ,67 635.128 , 3/2 ,,,,,,,,,,,,,
Al IV ,349.2226,900, ,852 706.8   ,4,,,,,,,,,,,,,
Al IV ,350.8457,800, ,853 039.1   ,3,,,,,,,,,,,,,
Al IV ,351.1284,500, ,853 749.4   ,2,,,,,,,,,,,,,
Al II ,351.605,2, ,149 916.3   ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,351.7556,700, ,856 859.9   ,3,,,,,,,,,,,,,
Al IV ,351.9638,5, ,856 843.1   ,2,,,,,,,,,,,,,
Al III , ,  ,1.07E+06,217 239.31  , 5/2 ,,,,,,,,,,,,,
Al III , ,  ,1.61E+07,217 239.31  , 7/2 ,,,,,,,,,,,,,
Al III , ,  ,1.50E+07,217 239.31  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,352.7034,400, ,856 843.1   ,2,,,,,,,,,,,,,
Al II ,353.4856,5,8.11E+05,139 918.98  ,1,,,,,,,,,,,,,
Al IX , ,  ,1.51E+07,1 722 410     , 3/2 ,,,,,,,,,,,,,
Al IV ,354.1076,500, ,853 971.5   ,3,,,,,,,,,,,,,
Al IV ,354.677,10, ,856 625.8   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,355.2,3, ,149 629.0   ,4,,,,,,,,,,,,,
Al II ,358.6557,200,2.35E+08,123 423.36  ,4,,,,,,,,,,,,,
Al II ,358.6708,15, ,123 423.36  ,4,,,,,,,,,,,,,
Al II ,358.6811,2, ,123 423.36  ,4,,,,,,,,,,,,,
Al II ,358.6912,50, ,123 420.45  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,358.692, 75hfs ,2.62E+07,123 420.45  ,3,,,,,,,,,,,,,
Al II ,358.6936,25, ,123 420.45  ,3,,,,,,,,,,,,,
Al II ,358.7068,100,2.09E+08,123 420.45  ,3,,,,,,,,,,,,,
Al II ,358.7165,5, ,123 418.48  ,2,,,,,,,,,,,,,
Al II ,358.7185, 15hfs ,1.03E+06,123 418.48  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,358.7195,10, ,123 418.48  ,2,,,,,,,,,,,,,
Al II ,358.7309,30, ,123 418.48  ,2,,,,,,,,,,,,,
Al II ,358.733, 80hfs ,3.66E+07,123 418.48  ,2,,,,,,,,,,,,,
Al II ,358.7342,50, ,123 418.48  ,2,,,,,,,,,,,,,
Al II ,358.745,70,1.97E+08,123 418.48  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,359.75,4, ,149 273.0   ,4,,,,,,,,,,,,,
Al III ,360.1628,14,1.31E+08,143 713.50  , 3/2 ,,,,,,,,,,,,,
Al III ,360.1926,11,1.46E+07,143 713.50  , 3/2 ,,,,,,,,,,,,,
Al VI , ,  ,8.64E+02,1 031 005     ,2,,,,,,,,,,,,,
Al III ,361.2356,13,1.45E+08,143 633.38  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,5.42E+05,1 030 908     ,1,,,,,,,,,,,,,
Al IV ,363.886,50, ,855 272.7   ,1,,,,,,,,,,,,,
Al II ,364.9184,10, ,132 822.95  ,1,,,,,,,,,,,,,
Al II ,364.92, 15hfs ,1.26E+07,132 822.95  ,1,,,,,,,,,,,,,
Al II ,364.9232,5, ,132 822.95  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,365.1065,40, ,132 822.80  ,2,,,,,,,,,,,,,
Al II , ,  ,9.45E+06,132 822.95  ,1,,,,,,,,,,,,,
Al II ,365.1078, 70hfs ,1.70E+07,132 822.80  ,2,,,,,,,,,,,,,
Al II ,365.1096,30, ,132 822.80  ,2,,,,,,,,,,,,,
Al III , ,  , ,217 250.17  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III , ,  , ,217 250.17  , 9/2 ,,,,,,,,,,,,,
Al II ,365.4981,35, ,132 822.89  ,3,,,,,,,,,,,,,
Al II ,365.4991, 85hfs ,2.26E+07,132 822.89  ,3,,,,,,,,,,,,,
Al II , ,  ,6.28E+05,132 822.95  ,1,,,,,,,,,,,,,
Al II ,365.4998,50, ,132 822.89  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,5.64E+06,132 822.80  ,2,,,,,,,,,,,,,
